index,table_id,table_name,download_URL,accessURL,data_format,last_update,dataset_id,dataset_name,frequency
14,04b202c5-d30f-42a4-8d04-3e2f60c64029,DTD CNIL ,https://echanges.dila.gouv.fr/OPENDATA/DTD_LEGIFRANCE,https://www.data.gouv.fr/datasets/53ca2dc6a3a7294a1ddd7848/#resource-04b202c5-d30f-42a4-8d04-3e2f60c64029,dtd,2023-11-17T09:22:43.781477,53ca2dc6a3a7294a1ddd7848,les-deliberations-de-la-cnil,monthly
15,5728c163c751df28b64e291f,Protection des données personnelles dans le monde,,https://www.data.gouv.fr/datasets/5728c163c751df28b64e291f/,,2023-11-09T09:12:50.142000,5728c163c751df28b64e291f,protection-des-donnees-personnelles-dans-le-monde,annual
16,00037755-4460-421f-be37-00dedbd66994,opencnil-autorites-de-protection-vd-20231010.xlsx,https://static.data.gouv.fr/resources/protection-des-donnees-personnelles-dans-le-monde/20231109-091242/opencnil-autorites-de-protection-vd-20231010.xlsx,https://www.data.gouv.fr/datasets/5728c163c751df28b64e291f/#resource-00037755-4460-421f-be37-00dedbd66994,xlsx,2023-11-09T09:12:50.118000,5728c163c751df28b64e291f,protection-des-donnees-personnelles-dans-le-monde,annual
17,4896dbe0-dafa-448d-81b5-ef7fdc26ddb7,opencnil-autorites-de-protection-vd-20231010.csv,https://static.data.gouv.fr/resources/protection-des-donnees-personnelles-dans-le-monde/20231109-091231/opencnil-autorites-de-protection-vd-20231010.csv,https://www.data.gouv.fr/datasets/5728c163c751df28b64e291f/#resource-4896dbe0-dafa-448d-81b5-ef7fdc26ddb7,csv,2023-11-09T09:12:34.137000,5728c163c751df28b64e291f,protection-des-donnees-personnelles-dans-le-monde,annual
18,555c431bc751df5800190c78,Contrôles réalisés par la CNIL,,https://www.data.gouv.fr/datasets/555c431bc751df5800190c78/,,2023-10-03T08:31:20.691000,555c431bc751df5800190c78,controles-realises-par-la-cnil,annual
19,ff243a18-37c3-484f-b065-807282a7fc96,open-data-controles-cnil-2022-v20231003.csv,https://static.data.gouv.fr/resources/controles-realises-par-la-cnil/20231003-083117/open-data-controles-cnil-2022-v20231003.csv,https://www.data.gouv.fr/datasets/555c431bc751df5800190c78/#resource-ff243a18-37c3-484f-b065-807282a7fc96,csv,2023-10-03T08:31:20.664000,555c431bc751df5800190c78,controles-realises-par-la-cnil,annual
20,cfc93e3e-a125-435a-b4eb-aef84759c695,open-data-controles-cnil-2022-v20231003.xlsx,https://static.data.gouv.fr/resources/controles-realises-par-la-cnil/20231003-083055/open-data-controles-cnil-2022-v20231003.xlsx,https://www.data.gouv.fr/datasets/555c431bc751df5800190c78/#resource-cfc93e3e-a125-435a-b4eb-aef84759c695,xlsx,2023-10-03T08:30:58.180000,555c431bc751df5800190c78,controles-realises-par-la-cnil,annual
21,591acfbb88ee387bd5a92ab7,Mises en demeure prononcées par la CNIL,,https://www.data.gouv.fr/datasets/591acfbb88ee387bd5a92ab7/,,2023-08-25T09:14:21.158000,591acfbb88ee387bd5a92ab7,mises-en-demeure-prononcees-par-la-cnil,annual
22,c153ef05-e8dc-40f1-837c-77ae2b2f091f,open-cnil-volumes-med-depuis-2014-maj-aout-2023.csv,https://static.data.gouv.fr/resources/mises-en-demeure-prononcees-par-la-cnil/20230825-091415/open-cnil-volumes-med-depuis-2014-maj-aout-2023.csv,https://www.data.gouv.fr/datasets/591acfbb88ee387bd5a92ab7/#resource-c153ef05-e8dc-40f1-837c-77ae2b2f091f,csv,2023-08-25T09:14:21.132000,591acfbb88ee387bd5a92ab7,mises-en-demeure-prononcees-par-la-cnil,annual
23,731f781b-2424-4ca2-b53d-c2d2f6f3f783,open-cnil-volumes-med-depuis-2014-maj-aout-2023.xlsx,https://static.data.gouv.fr/resources/mises-en-demeure-prononcees-par-la-cnil/20230825-091339/open-cnil-volumes-med-depuis-2014-maj-aout-2023.xlsx,https://www.data.gouv.fr/datasets/591acfbb88ee387bd5a92ab7/#resource-731f781b-2424-4ca2-b53d-c2d2f6f3f783,xlsx,2023-08-25T09:13:45.173000,591acfbb88ee387bd5a92ab7,mises-en-demeure-prononcees-par-la-cnil,annual
